farmer_type,ndvi_5yr_avg,rainfall_mm,soil_npk_index,crop_price_inr,default_risk_label
Experienced,0.5974,466.4,65.87,2320.98,0
New_Farmer,0.0,579.39,46.79,1126.24,1
Experienced,0.6088,569.13,82.23,2066.49,1
Experienced,0.5038,593.44,55.61,1889.97,1
New_Farmer,0.0,793.08,20.09,2675.53,1
New_Farmer,0.0,757.27,41.61,1895.58,1
Experienced,0.6772,540.51,66.65,2037.66,1
New_Farmer,0.0,655.19,30.32,1298.08,1
Experienced,0.764,963.04,67.52,1679.65,0
New_Farmer,0.0,1121.08,7.08,2547.09,1
New_Farmer,0.0,695.62,33.31,1389.09,1
New_Farmer,0.0,808.51,34.76,2344.26,1
Experienced,0.4285,922.43,53.33,1456.68,0
Experienced,0.5706,709.46,62.71,3100.19,1
Experienced,0.4232,498.75,59.75,3414.76,1
Experienced,0.6356,1052.54,68.48,2618.99,0
New_Farmer,0.0,1333.81,26.94,1817.22,1
New_Farmer,0.0,586.62,61.08,1457.23,1
Experienced,0.8646,685.17,51.43,2485.45,0
New_Farmer,0.0,756.92,61.87,1530.21,0
Experienced,0.4468,832.08,47.38,3102.84,1
Experienced,0.7646,469.14,71.71,2375.52,0
Experienced,0.5303,763.54,65.3,2282.09,0
New_Farmer,0.0,677.48,26.7,2579.65,1
Experienced,0.4,910.32,57.24,2604.43,0
Experienced,0.5024,928.23,59.1,2529.35,1
New_Farmer,0.0,867.88,65.45,2639.08,1
Experienced,0.8623,827.93,69.63,4026.06,0
Experienced,0.8364,489.63,33.75,2309.96,1
Experienced,0.4309,348.36,47.7,1981.76,1
Experienced,0.449,761.57,51.11,3313.89,0
New_Farmer,0.0,530.06,37.84,1217.42,1
Experienced,0.4656,677.39,69.01,1435.18,0
New_Farmer,0.0,266.08,34.84,2808.34,1
New_Farmer,0.0,693.29,29.61,1395.32,1
Experienced,0.741,706.12,53.94,2237.22,0
Experienced,0.4291,585.09,73.97,2184.96,1
Experienced,0.8728,852.76,60.07,1971.06,1
Experienced,0.7062,570.05,66.92,2515.07,0
Experienced,0.9,321.72,40.81,1849.08,1
New_Farmer,0.0,781.44,44.62,2578.43,1
New_Farmer,0.0,642.06,46.05,2445.78,1
Experienced,0.7692,450.73,65.18,2584.99,1
Experienced,0.8382,538.43,55.59,2428.83,0
New_Farmer,0.0,935.69,67.66,1873.75,0
New_Farmer,0.0,1109.47,62.14,1992.74,1
New_Farmer,0.0,685.2,71.23,2513.04,0
New_Farmer,0.0,593.34,49.59,2197.33,1
New_Farmer,0.0,824.21,36.73,3117.58,1
New_Farmer,0.0,486.07,24.59,1723.8,1
Experienced,0.8143,858.34,47.92,2440.67,0
Experienced,0.8466,1048.17,53.52,1245.34,0
Experienced,0.5336,505.49,57.34,2244.91,0
Experienced,0.7284,385.09,79.4,2413.33,1
Experienced,0.6657,763.65,78.38,2318.16,0
New_Farmer,0.0,595.91,37.62,1263.27,1
New_Farmer,0.0,1104.1,46.45,2946.16,0
New_Farmer,0.0,626.05,9.1,2123.69,1
New_Farmer,0.0,789.94,30.31,1830.29,1
Experienced,0.4758,618.13,43.54,2142.41,1
Experienced,0.8082,753.09,48.03,2330.17,0
Experienced,0.5183,691.45,23.5,1443.55,1
Experienced,0.658,981.3,57.71,1720.32,0
Experienced,0.5699,577.87,43.77,3138.54,0
Experienced,0.7867,987.92,40.61,2142.48,1
Experienced,0.8884,390.42,67.35,1774.57,1
Experienced,0.8936,924.44,54.97,1724.91,0
New_Farmer,0.0,867.36,47.82,3144.48,1
New_Farmer,0.0,486.86,5.85,1318.14,1
Experienced,0.6911,726.26,43.36,1918.34,1
Experienced,0.6995,943.98,23.9,1864.76,1
New_Farmer,0.0,673.5,48.06,1785.9,1
New_Farmer,0.0,777.22,86.01,2587.6,0
Experienced,0.6052,286.23,54.29,2242.39,1
New_Farmer,0.0,101.98,50.85,2450.44,1
Experienced,0.7988,652.89,68.57,3301.35,0
New_Farmer,0.0,926.76,27.18,2168.95,1
New_Farmer,0.0,1053.72,37.85,1940.52,1
New_Farmer,0.0,800.83,82.88,1746.53,1
Experienced,0.5892,911.16,59.26,2411.27,0
New_Farmer,0.0,887.86,52.03,2384.79,1
Experienced,0.8677,635.33,55.26,2651.72,1
Experienced,0.4042,1002.27,48.67,2612.69,0
Experienced,0.4853,1166.6,42.66,2153.33,1
Experienced,0.6886,526.58,67.87,1801.0,0
Experienced,0.5046,737.45,56.85,2281.78,1
Experienced,0.7754,1093.03,19.37,1104.51,0
Experienced,0.7314,570.8,56.01,2120.04,1
Experienced,0.4,771.8,57.3,2478.68,1
New_Farmer,0.0,816.51,35.91,2612.87,1
New_Farmer,0.0,1175.43,21.38,1640.63,1
New_Farmer,0.0,1203.0,4.94,2934.8,1
New_Farmer,0.0,1078.94,87.74,2436.87,0
Experienced,0.4961,842.57,36.07,2515.24,1
New_Farmer,0.0,1150.98,64.59,1187.51,0
Experienced,0.6881,604.01,35.39,1821.64,0
Experienced,0.8745,655.63,47.11,2523.8,1
Experienced,0.7161,1018.62,48.65,2202.5,0
